app_id,user_name,content,label_b,label_f
io.metamask,Awais Hameed,Very low quality. Take too much time at any action.,1,0
io.metamask,A Google user,Nice app.. I so much love this wallet.. it's easy to use,0,0
io.metamask,sanjay gupta,Not working on my redmi note 11 Please fix this problem,1,0
io.metamask,Keston Smith,"Can't sync with web extension, it just sticks on a white screen",1,0
io.metamask,Andrew,It's worked quite well and I haven't been robbed in over two years. Knock on wood.,0,0
io.metamask,Hera angel,when i open it it alwas close automatically,1,0
io.metamask,Kazi Naymur,totally time waste. Keyboard do not work. I tried to set up password for importing accout but its failed again and again,1,0
io.metamask,Golu Golu,"bug always, when Iam able to attach my id it will create problem...always...tried 20 times....",1,0
io.metamask,Damien Murphy,"The app keeps crashing when I try to look on the NFT section, I tried uninstall and install it many times. Up to date with updates also. Low rating for this reason,",1,0
io.metamask,Philemon Okoduwa,"The worst wallet i have ever used...my reasons are it log me out from my account and even when i tried to login i couldn't, i even uninstall the app and download again i type in my 12 seret recovery phrase it still show invalied...is so annoying having funds and this is happeing\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1",1,0
io.metamask,emmanuel okoli,I'm giving it a 3 star because the opening page taked long time to open please fix it,1,0
io.metamask,Ankit Jain,"Please look into this. Since this evening metamask is crashing upon login in my Android OnePlus Nord phone. It's not logging in. After credentials, app shuts down. Able to login in IPhone though.",1,0
io.metamask,Edoardo Zerbo,"Good, please consider adding dark/OLED theme support",0,1
io.metamask,itoajah,"Can\'t sync with the browser extension. Always ended with ""QR code expired"" things after a minute or two synchronizing..",1,0
io.metamask,Marco Garcia van Bijsterveld,"Browser experience is horrible. You click on ""Open app"", it asks if you want to open with Google or Metamask. Then after clicking metamask nothing happens.",1,0
io.metamask,Mortilex Spencer,"Pls help, i withdraw MATIC on binance then send to to metamask, and choose Binance Smart Chain (BEP20), it was a success on binance but Havent received yet on Metamask. Thank you pls respond",1,0
io.metamask,paul Miller,Awsome app had issues but works great again,0,0
io.metamask,Muthu Kumar,Recently started to explore. App starts slowly - may be because of Ethereum network connectivity issues.,1,0
io.metamask,Kelvin Y,BEST and MOST SECURE wallet!! Some people will like because they can steal away your usdt...,0,0
io.metamask,Peter Elvis,"Ever since I updated the app, it takes ages just to open which is annoying.. Fix it \xf0\x9f\x98\xa1",1,0
io.metamask,Jennifer Billington,Straight off the bat... there's a bug!! Fox asap guys!,1,0
io.metamask,Jade Gako,Im giving this 1 star. Please Back the pass phrase for the recovery method not the passkeys,0,1
io.metamask,Nahuel Valencia,It crash randomly!! Fix it please,1,0
io.metamask,Will M,"We need Ledger available on MetaMask app , please \xf0\x9f\x99\x8f",0,1
io.metamask,Manirumva Ismael,i like Metamask but i don't know if it's will be used as exchange of Core Mining,0,0
io.metamask,Pablo Chocobar,Please include a dark mode for this wallet \xf0\x9f\x99\x8f in the next update,0,1
io.metamask,Samuel Okediji,Seamless decentralized wallet. Thumbs up for the cheap gas fee.,0,0
io.metamask,qusai qatarneh,"Horrible app, gas fees are extremely high and even then most transactions take an eternity to receive, app constantly stutters and crashes. Use trust wallet rather than this garbage.",1,0
io.metamask,K Ali,Since last update wont load the app it will show the loading symbol and freeze there,1,0
io.metamask,Abdiev usen,"Huge thanks to dev team, make Ethereum Great over, over and over again \xf0\x9f\x91\x8f",0,0
io.metamask,Simon Cole,"Mostly works well, couple of bugs though. The minor bug is the 'transaction complete' or whatever it says getting stuck on the screen (easily fixed by logging out) The much more serious bug is that the app totally loses my wallet sometimes. I have to import it all over again, which isn't quick or easy while I'm away from home and means needing to store my seed phrase somewhere I can always access it (and it can still make me too late for an important transaction)",1,0
io.metamask,Road Free Life,Yeah so I was trying to sync the app with my online wallet and its been synching for a week now. Cant do anything else. Whats up?,1,0
io.metamask,Asura,Don't download it i encounter a lots of bugs in my first use(when connecting it to opensea)(when setting up recovery phrase)(etch),1,0
io.metamask,sorunke opeyemi,"Everything about metamask is so slow compared to trustwallet but I like the interface,maybe it's bug I don't know pls improve the performance,so I can abandon trustwallet forever",1,0
io.metamask,Wayne,I'm updating this review from one star since the app is finally working since the new app update. Thanks for the quick response.,0,0
io.metamask,itrujah samuels,it's a wonderful wallet to use definitely would recommend to anyone searching for possible wallets for crypto...,0,0
io.metamask,Arfan Shareef,wow this is a amazing app i like this app function,0,0
io.metamask,Jhay Carino,My metamask app automatically closes when i type my seed phrase. How to fix it?,1,0
io.metamask,Richard Schroeter,Expensive exchange rate if it works,0,0
io.metamask,Server Monk,App is stucked on launching screen,1,0
io.metamask,Gozie Afam,I want my app to be ready so that I can be able to open it now,0,0
io.metamask,Berto Diez,"Trying to connect through Opensea.io, it opens the METAMASK app, you log into it, then the app DOESN'T SEND THE INFO BACK TO OPENSEA AND CAN'T LOG IN THERE. Very useful yes",1,0
io.metamask,Ka Banyana,I cant connect to panckswap real bad exprience with this app,1,0
io.metamask,Aayam Dahiya,Works very slow. Takes a lot of time to show nft,1,0
io.metamask,Madhav Rao,Worst app cannot restore my previous account even though I am giving right pharses,1,0
io.metamask,AngelElectriko,"It's a secure wallet until you get hacked. If you get hacked, YAOYO",0,0
io.metamask,STEVEN OKIKE,I don't know why Satoshi app keep saying that I install original metamask from Google Play after installing it several times,1,0
io.metamask,Baadal Mangsidam,Unable to use since day1 of installing. Always force close whenever trying to browse. Rendered useless because of the force close.,1,0
io.metamask,Nawaz Khan,All of my money wasted work through metamask,0,0
io.metamask,Charles Croft,Needed meta for play to earn game however needed to connect to polygon for it and it can't be done on android just keeps coming back saying need to install app,1,0
io.metamask,lucky 4u,I lost all my coins when I update now I cannot connect with game I play because sign in the previous account,1,0
io.metamask,Chukwu Chibuike Daniel,You guys should try and make this app connecting to other app easy,0,1
io.metamask,Bulama Ishaq,I'm so great when I just got this exchanger wep 3,0,0
io.metamask,Parathagoras Scorpursa (Patrick Barnes),Highly trusted and recommended amongst the crypto community.,0,0
io.metamask,Johnson Chang,Cant add NFTs to mobile,1,0
io.metamask,Tumuhimbise Onan,"the app is easy to use, though it takes long to load data",1,0
io.metamask,Francis Jake Agullo,During the first week-month there was no problem with using metamask. But after a month my account was compromised even if I securely handle my account and avoid any suspicious links/sites. The balance that I had on my wallet was transfered to another account without my permission. I tried to get help with their support team but no one! Literally no one even responded. I just let it go but never again I will use this app again. I strongly suggest to use other wallet than this one.,1,0
io.metamask,Divine Zuaj,This app is so stupid i wrote the write recovery phrase in order and it always said invalid so stupid,1,0
io.metamask,Ononiba Kelechi (Dongeneralofficial),I don't know where you can find your password that is recover your account if you lost it But the protection is 100% Please managers of metamask let the soon coming version reveal your password if forgotten Thanks,0,1
